date|time|description|vendor|amount
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:51|akjda|kajd|-2.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:51|akjda|kajd|-2.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:28|akjdh|akdjha|-1.00
2024-10-16|15:2:51|akjda|kajd|-2.00
2024-10-16|15:3:23|lakjhd|kajdh|10.00
